acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.282,https://api.spotify.com/v1/audio-analysis/1o0kWPueYo94LIjPYOE5Nf,0.461,372113,0.772,1o0kWPueYo94LIjPYOE5Nf,0,2,0.178,-3.98,0,0.375,167.018,4,https://api.spotify.com/v1/tracks/1o0kWPueYo94LIjPYOE5Nf,audio_features,spotify:track:1o0kWPueYo94LIjPYOE5Nf,0.414
0.141,https://api.spotify.com/v1/audio-analysis/52NmkyHsGsHGb1UX8fTkMg,0.485,234853,0.604,52NmkyHsGsHGb1UX8fTkMg,0,1,0.0668,-4.591,1,0.345,170.337,4,https://api.spotify.com/v1/tracks/52NmkyHsGsHGb1UX8fTkMg,audio_features,spotify:track:52NmkyHsGsHGb1UX8fTkMg,0.45
0.0796,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,0.531,299613,0.803,22L7bfCiAkJo5xGSQgmiIO,1.71e-05,1,0.176,-3.284,1,0.0717,142.113,4,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,audio_features,spotify:track:22L7bfCiAkJo5xGSQgmiIO,0.221
0.255,https://api.spotify.com/v1/audio-analysis/6K07Ahf6V7CAQn0ikrOztl,0.64,397667,0.754,6K07Ahf6V7CAQn0ikrOztl,0,1,0.63,-5.873,0,0.283,87.15,4,https://api.spotify.com/v1/tracks/6K07Ahf6V7CAQn0ikrOztl,audio_features,spotify:track:6K07Ahf6V7CAQn0ikrOztl,0.584
0.939,https://api.spotify.com/v1/audio-analysis/0j35X8cTq543QDYLOyqB8W,0.732,280227,0.243,0j35X8cTq543QDYLOyqB8W,0,0,0.111,-6.023,1,0.0435,102.087,4,https://api.spotify.com/v1/tracks/0j35X8cTq543QDYLOyqB8W,audio_features,spotify:track:0j35X8cTq543QDYLOyqB8W,0.106
0.00564,https://api.spotify.com/v1/audio-analysis/4fzsfWzRhPawzqhX8Qt9F3,0.617,311867,0.717,4fzsfWzRhPawzqhX8Qt9F3,0,10,0.408,-7.858,0,0.153,103.992,4,https://api.spotify.com/v1/tracks/4fzsfWzRhPawzqhX8Qt9F3,audio_features,spotify:track:4fzsfWzRhPawzqhX8Qt9F3,0.49
0.149,https://api.spotify.com/v1/audio-analysis/5SkRLpaGtvYPhw02vZhQQ9,0.657,223507,0.734,5SkRLpaGtvYPhw02vZhQQ9,0,8,0.139,-4.832,0,0.484,91.03,4,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,audio_features,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,0.434
0.15,https://api.spotify.com/v1/audio-analysis/1qsHYUd2c1wFGcn7e63QmG,0.683,188773,0.776,1qsHYUd2c1wFGcn7e63QmG,0,1,0.227,-3.251,0,0.341,173.996,4,https://api.spotify.com/v1/tracks/1qsHYUd2c1wFGcn7e63QmG,audio_features,spotify:track:1qsHYUd2c1wFGcn7e63QmG,0.223
0.376,https://api.spotify.com/v1/audio-analysis/3s7MCdXyWmwjdcWh7GWXas,0.669,215320,0.419,3s7MCdXyWmwjdcWh7GWXas,0,1,0.187,-6.724,0,0.522,109.813,4,https://api.spotify.com/v1/tracks/3s7MCdXyWmwjdcWh7GWXas,audio_features,spotify:track:3s7MCdXyWmwjdcWh7GWXas,0.0397
0.867,https://api.spotify.com/v1/audio-analysis/0yhxBvedRdGxsPZHJNI4VA,0.752,274187,0.396,0yhxBvedRdGxsPZHJNI4VA,0,2,0.0486,-7.932,1,0.411,116.016,4,https://api.spotify.com/v1/tracks/0yhxBvedRdGxsPZHJNI4VA,audio_features,spotify:track:0yhxBvedRdGxsPZHJNI4VA,0.417
0.00572,https://api.spotify.com/v1/audio-analysis/4qYLPta5HZ36idWiXtqh7B,0.547,199867,0.626,4qYLPta5HZ36idWiXtqh7B,0,2,0.313,-6.244,1,0.208,101.971,4,https://api.spotify.com/v1/tracks/4qYLPta5HZ36idWiXtqh7B,audio_features,spotify:track:4qYLPta5HZ36idWiXtqh7B,0.346
0.0359,https://api.spotify.com/v1/audio-analysis/2CHmgtK8OCL28WtIK96u4N,0.823,323303,0.813,2CHmgtK8OCL28WtIK96u4N,0,7,0.0886,-6.71,1,0.288,95.012,4,https://api.spotify.com/v1/tracks/2CHmgtK8OCL28WtIK96u4N,audio_features,spotify:track:2CHmgtK8OCL28WtIK96u4N,0.373
0.118,https://api.spotify.com/v1/audio-analysis/3cCxoOgfi6hgt8MNteuiiD,0.752,193748,0.765,3cCxoOgfi6hgt8MNteuiiD,0,9,0.31,-5.805,0,0.0908,105.998,4,https://api.spotify.com/v1/tracks/3cCxoOgfi6hgt8MNteuiiD,audio_features,spotify:track:3cCxoOgfi6hgt8MNteuiiD,0.309
0.337,https://api.spotify.com/v1/audio-analysis/2ovQ5MCx91XVjgVWEPfvks,0.667,203493,0.747,2ovQ5MCx91XVjgVWEPfvks,0,1,0.115,-7.059,1,0.189,86.917,4,https://api.spotify.com/v1/tracks/2ovQ5MCx91XVjgVWEPfvks,audio_features,spotify:track:2ovQ5MCx91XVjgVWEPfvks,0.918
0.00865,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,0.571,221227,0.739,4mmkhcEm1Ljy1U9nwtsxUo,5.21e-06,7,0.158,-6.11,1,0.247,83.089,4,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,audio_features,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,0.66
0.495,https://api.spotify.com/v1/audio-analysis/1nGoy0cEj0extAwXYNYTWd,0.556,205547,0.432,1nGoy0cEj0extAwXYNYTWd,0,3,0.308,-8.551,1,0.545,164.235,4,https://api.spotify.com/v1/tracks/1nGoy0cEj0extAwXYNYTWd,audio_features,spotify:track:1nGoy0cEj0extAwXYNYTWd,0.352
0.0515,https://api.spotify.com/v1/audio-analysis/4EWCNWgDS8707fNSZ1oaA5,0.79,211000,0.647,4EWCNWgDS8707fNSZ1oaA5,0,10,0.248,-5.983,0,0.136,87.999,4,https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5,audio_features,spotify:track:4EWCNWgDS8707fNSZ1oaA5,0.654
0.0381,https://api.spotify.com/v1/audio-analysis/31I3Rt1bPa2LrE74DdNizO,0.639,237507,0.628,31I3Rt1bPa2LrE74DdNizO,0,6,0.386,-7.578,0,0.0399,90.482,4,https://api.spotify.com/v1/tracks/31I3Rt1bPa2LrE74DdNizO,audio_features,spotify:track:31I3Rt1bPa2LrE74DdNizO,0.43
0.614,https://api.spotify.com/v1/audio-analysis/5g1vtHqi9uV7xtYeCcFOBx,0.637,193733,0.834,5g1vtHqi9uV7xtYeCcFOBx,0,3,0.317,-4.686,0,0.323,87.312,4,https://api.spotify.com/v1/tracks/5g1vtHqi9uV7xtYeCcFOBx,audio_features,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,0.715
0.0119,https://api.spotify.com/v1/audio-analysis/7tGlzXJv6GD5e5qlu5YmDg,0.674,253440,0.608,7tGlzXJv6GD5e5qlu5YmDg,0,8,0.103,-6.628,0,0.0334,124.952,4,https://api.spotify.com/v1/tracks/7tGlzXJv6GD5e5qlu5YmDg,audio_features,spotify:track:7tGlzXJv6GD5e5qlu5YmDg,0.464
